video_id,track_id,num_frames,VCL,VSL,VAP
TA280380 (4)_SESSIOE 011225,35,14,0.367,0.234,0.2304
TA280380 (4)_SESSIOE 011225,36,7,0.2031,0.1754,0.1695
TA280380 (4)_SESSIOE 011225,37,7,1.7516,1.7004,1.3795
TA280380 (4)_SESSIOE 011225,39,2,0.4528,0.4528,0.4528
TA280380 (4)_SESSIOE 011225,40,4,0.3384,0.2501,0.1106
TA280380 (4)_SESSIOE 011225,41,2,0.3204,0.3204,0.3204
TA280380 (4)_SESSIOE 011225,43,7,0.288,0.1458,0.2068
TA280380 (4)_SESSIOE 011225,45,2,0.4389,0.4389,0.4389
TA280380 (4)_SESSIOE 011225,46,4,0.8931,0.8277,0.5385
TA280380 (5)_SESSIOE 011225,0,15,0.9291,0.2889,0.4384
TA280380 (5)_SESSIOE 011225,1,9,0.4677,0.111,0.2274
TA280380 (5)_SESSIOE 011225,2,17,0.4032,0.2017,0.2041
TA280380 (5)_SESSIOE 011225,3,30,0.3366,0.2024,0.2178
TA280380 (5)_SESSIOE 011225,4,30,0.4325,0.2047,0.2349
TA280380 (5)_SESSIOE 011225,5,2,1.0738,1.0738,1.0738
TA280380 (5)_SESSIOE 011225,6,2,0.2742,0.2742,0.2742
TA280380 (5)_SESSIOE 011225,7,23,0.7185,0.1637,0.3557
TA280380 (5)_SESSIOE 011225,8,9,0.5352,0.2783,0.3142
TA280380 (5)_SESSIOE 011225,9,3,0.405,0.4039,0.202
TA280380 (5)_SESSIOE 011225,11,20,0.6888,0.1146,0.3455
TA280380 (5)_SESSIOE 011225,12,16,0.6152,0.1477,0.2561
TA280380 (5)_SESSIOE 011225,16,15,0.4433,0.3004,0.2977
TA280380 (5)_SESSIOE 011225,17,5,0.4157,0.2532,0.2517
TA280380 (5)_SESSIOE 011225,19,8,0.2026,0.1453,0.1459
TA280380 (5)_SESSIOE 011225,20,8,0.2671,0.2518,0.2216
TA280380 (5)_SESSIOE 011225,21,9,0.8953,0.4739,0.6715
TA280380 (5)_SESSIOE 011225,23,27,0.5431,0.1399,0.277
TA280380 (5)_SESSIOE 011225,24,21,0.638,0.1927,0.2837
TA280380 (5)_SESSIOE 011225,25,2,0.2971,0.2971,0.2971
TA280380 (5)_SESSIOE 011225,26,2,0.7425,0.7425,0.7425
TA280380 (5)_SESSIOE 011225,28,2,0.4423,0.4423,0.4423
TA280380 (5)_SESSIOE 011225,30,2,0.1352,0.1352,0.1352
TA280380 (5)_SESSIOE 011225,31,5,0.427,0.3869,0.2344
TA280380 (5)_SESSIOE 011225,32,5,0.7303,0.1769,0.1657
TA280380 (5)_SESSIOE 011225,35,6,0.1675,0.0917,0.0676
TA280380 (5)_SESSIOE 011225,37,4,0.4306,0.1031,0.1451
TA280380 (5)_SESSIOE 011225,40,5,0.2135,0.165,0.1337
TA280380 (5)_SESSIOE 011225,43,2,0.7488,0.7488,0.7488
TA280380 (5)_SESSIOE 011225,44,11,0.8665,0.1337,0.309
TA280380 (5)_SESSIOE 011225,45,7,0.7941,0.2028,0.2438
TA280380 (5)_SESSIOE 011225,47,3,0.3356,0.1068,0.0577
TA280380 (5)_SESSIOE 011225,49,2,0.285,0.285,0.285
TA280380 (5)_SESSIOE 011225,50,11,0.4651,0.2336,0.2388
TA280380 (5)_SESSIOE 011225,51,10,0.9194,0.1669,0.338
TA280380 (5)_SESSIOE 011225,52,4,0.6236,0.5692,0.3312
TA280380 (5)_SESSIOE 011225,53,7,0.3653,0.2324,0.2565
TA280380 (5)_SESSIOE 011225,54,8,0.1614,0.0753,0.0778
TA280380 (5)_SESSIOE 011225,57,3,0.3671,0.1425,0.0892
TA280380 (5)_SESSIOE 011225,58,12,0.4382,0.1696,0.2147
TA280380 (5)_SESSIOE 011225,59,2,0.7115,0.7115,0.7115
TA280380 (5)_SESSIOE 011225,60,6,0.2292,0.1882,0.1774
TA280380 (5)_SESSIOE 011225,61,10,0.3586,0.2949,0.2614
TA280380 (5)_SESSIOE 011225,63,7,0.4812,0.2295,0.3108
TA280380 (5)_SESSIOE 011225,64,2,0.7234,0.7234,0.7234
TA280380 (5)_SESSIOE 011225,68,5,0.3444,0.1898,0.1012
TA280380 (5)_SESSIOE 011225,69,4,0.4464,0.1581,0.1549
TA280380 (5)_SESSIOE 011225,70,3,0.251,0.2066,0.1048
TA280380 (5)_SESSIOE 011225,72,5,0.1891,0.1789,0.1486
TA280380 (5)_SESSIOE 011225,73,4,1.2024,0.4126,0.2699
TA280380 (5)_SESSIOE 011225,75,2,0.0375,0.0375,0.0375
TA280380 (5)_SESSIOE 011225,76,3,0.3156,0.2177,0.1153
TA280380 (5)_SESSIOE 011225,77,3,0.5974,0.0946,0.0997
TA280380 (5)_SESSIOE 011225,78,3,0.3081,0.3029,0.1517
TA280380 (5)_SESSIOE 011225,81,2,0.7125,0.7125,0.7125
TA280380_SESSIONE 110925,0,3,0.4491,0.4475,0.2237
TA280380_SESSIONE 110925,14,2,1.7738,1.7738,1.7738
TA280380_SESSIONE 110925,16,2,1.4646,1.4646,1.4646
SM210997_Sessione 050925,8,2,0.7197,0.7197,0.7197
SG240691_SESSIONE 110925,5,2,1.5588,1.5588,1.5588
